date,jobcountry,indeed_job_postings_index,variable,display_name
2020-06-08,DE,64.19,new postings,Data & Analytics
2020-06-08,DE,72.09,total postings,Data & Analytics
2020-06-09,DE,65.14,new postings,Data & Analytics
2020-06-09,DE,72.41,total postings,Data & Analytics
2020-06-10,DE,67.41,new postings,Data & Analytics
2020-06-10,DE,72.57,total postings,Data & Analytics
2020-06-11,DE,68.28,new postings,Data & Analytics
2020-06-11,DE,72.56,total postings,Data & Analytics
2020-06-12,DE,69.47,new postings,Data & Analytics
2020-06-12,DE,72.57,total postings,Data & Analytics
2020-06-13,DE,70.31,new postings,Data & Analytics
2020-06-13,DE,72.55,total postings,Data & Analytics
2020-06-14,DE,70.73,new postings,Data & Analytics
2020-06-14,DE,72.5,total postings,Data & Analytics
2020-06-15,DE,69.71,new postings,Data & Analytics
2020-06-15,DE,72.34,total postings,Data & Analytics
2020-06-16,DE,66.54,new postings,Data & Analytics
2020-06-16,DE,72.28,total postings,Data & Analytics
2020-06-17,DE,63.1,new postings,Data & Analytics
2020-06-17,DE,72.25,total postings,Data & Analytics
2020-06-18,DE,61.24,new postings,Data & Analytics
2020-06-18,DE,72.36,total postings,Data & Analytics
2020-06-19,DE,61.05,new postings,Data & Analytics
2020-06-19,DE,72.51,total postings,Data & Analytics
2020-06-20,DE,62.03,new postings,Data & Analytics
2020-06-20,DE,72.75,total postings,Data & Analytics
2020-06-21,DE,63.35,new postings,Data & Analytics
2020-06-21,DE,72.96,total postings,Data & Analytics
2020-06-22,DE,66.04,new postings,Data & Analytics
2020-06-22,DE,73.14,total postings,Data & Analytics
2020-06-23,DE,68.22,new postings,Data & Analytics
2020-06-23,DE,73.29,total postings,Data & Analytics
2020-06-24,DE,69.89,new postings,Data & Analytics
2020-06-24,DE,73.46,total postings,Data & Analytics
2020-06-25,DE,69.29,new postings,Data & Analytics
2020-06-25,DE,73.48,total postings,Data & Analytics
2020-06-26,DE,67.55,new postings,Data & Analytics
2020-06-26,DE,73.58,total postings,Data & Analytics
2020-06-27,DE,66.22,new postings,Data & Analytics
2020-06-27,DE,73.78,total postings,Data & Analytics
2020-06-28,DE,66.03,new postings,Data & Analytics
2020-06-28,DE,73.92,total postings,Data & Analytics
2020-06-29,DE,66.06,new postings,Data & Analytics
2020-06-29,DE,73.94,total postings,Data & Analytics
2020-06-30,DE,67.63,new postings,Data & Analytics
2020-06-30,DE,74.09,total postings,Data & Analytics
2020-07-01,DE,67.93,new postings,Data & Analytics
2020-07-01,DE,74.18,total postings,Data & Analytics
2020-07-02,DE,69.43,new postings,Data & Analytics
2020-07-02,DE,74.38,total postings,Data & Analytics
2020-07-03,DE,70.87,new postings,Data & Analytics
2020-07-03,DE,74.48,total postings,Data & Analytics
2020-07-04,DE,71.27,new postings,Data & Analytics
2020-07-04,DE,74.51,total postings,Data & Analytics
2020-07-05,DE,70.34,new postings,Data & Analytics
2020-07-05,DE,74.54,total postings,Data & Analytics
2020-07-06,DE,70.16,new postings,Data & Analytics
2020-07-06,DE,74.67,total postings,Data & Analytics
2020-07-07,DE,69.02,new postings,Data & Analytics
2020-07-07,DE,74.74,total postings,Data & Analytics
2020-07-08,DE,69.87,new postings,Data & Analytics
2020-07-08,DE,74.9,total postings,Data & Analytics
2020-07-09,DE,69.63,new postings,Data & Analytics
2020-07-09,DE,75.0,total postings,Data & Analytics
2020-07-10,DE,68.64,new postings,Data & Analytics
2020-07-10,DE,74.98,total postings,Data & Analytics
2020-07-11,DE,67.36,new postings,Data & Analytics
2020-07-11,DE,74.93,total postings,Data & Analytics
2020-07-12,DE,66.43,new postings,Data & Analytics
2020-07-12,DE,74.89,total postings,Data & Analytics
2020-07-13,DE,65.03,new postings,Data & Analytics
2020-07-13,DE,74.87,total postings,Data & Analytics
2020-07-14,DE,63.91,new postings,Data & Analytics
2020-07-14,DE,74.76,total postings,Data & Analytics
2020-07-15,DE,61.09,new postings,Data & Analytics
2020-07-15,DE,74.46,total postings,Data & Analytics
2020-07-16,DE,60.4,new postings,Data & Analytics
2020-07-16,DE,74.08,total postings,Data & Analytics
2020-07-17,DE,60.84,new postings,Data & Analytics
2020-07-17,DE,73.91,total postings,Data & Analytics
2020-07-18,DE,62.53,new postings,Data & Analytics
2020-07-18,DE,73.72,total postings,Data & Analytics
2020-07-19,DE,65.01,new postings,Data & Analytics
2020-07-19,DE,73.55,total postings,Data & Analytics
2020-07-20,DE,67.55,new postings,Data & Analytics
2020-07-20,DE,73.34,total postings,Data & Analytics
2020-07-21,DE,68.66,new postings,Data & Analytics
2020-07-21,DE,73.15,total postings,Data & Analytics
2020-07-22,DE,71.77,new postings,Data & Analytics
2020-07-22,DE,73.2,total postings,Data & Analytics
2020-07-23,DE,73.26,new postings,Data & Analytics
2020-07-23,DE,73.36,total postings,Data & Analytics
2020-07-24,DE,73.17,new postings,Data & Analytics
2020-07-24,DE,73.23,total postings,Data & Analytics
2020-07-25,DE,71.94,new postings,Data & Analytics
2020-07-25,DE,73.19,total postings,Data & Analytics
2020-07-26,DE,70.6,new postings,Data & Analytics
2020-07-26,DE,73.29,total postings,Data & Analytics
2020-07-27,DE,68.83,new postings,Data & Analytics
2020-07-27,DE,73.39,total postings,Data & Analytics
2020-07-28,DE,68.21,new postings,Data & Analytics
2020-07-28,DE,73.47,total postings,Data & Analytics
2020-07-29,DE,65.57,new postings,Data & Analytics
2020-07-29,DE,73.32,total postings,Data & Analytics
2020-07-30,DE,63.42,new postings,Data & Analytics
2020-07-30,DE,73.06,total postings,Data & Analytics
2020-07-31,DE,63.11,new postings,Data & Analytics
2020-07-31,DE,73.08,total postings,Data & Analytics
2020-08-01,DE,64.73,new postings,Data & Analytics
2020-08-01,DE,73.18,total postings,Data & Analytics
2020-08-02,DE,66.16,new postings,Data & Analytics
2020-08-02,DE,73.16,total postings,Data & Analytics
2020-08-03,DE,67.26,new postings,Data & Analytics
2020-08-03,DE,73.19,total postings,Data & Analytics
2020-08-04,DE,68.94,new postings,Data & Analytics
2020-08-04,DE,73.2,total postings,Data & Analytics
2020-08-05,DE,71.31,new postings,Data & Analytics
2020-08-05,DE,73.24,total postings,Data & Analytics
2020-08-06,DE,74.15,new postings,Data & Analytics
2020-08-06,DE,73.6,total postings,Data & Analytics
2020-08-07,DE,78.49,new postings,Data & Analytics
2020-08-07,DE,73.79,total postings,Data & Analytics
2020-08-08,DE,82.61,new postings,Data & Analytics
2020-08-08,DE,74.02,total postings,Data & Analytics
2020-08-09,DE,86.71,new postings,Data & Analytics
2020-08-09,DE,74.28,total postings,Data & Analytics
2020-08-10,DE,91.72,new postings,Data & Analytics
2020-08-10,DE,74.54,total postings,Data & Analytics
2020-08-11,DE,95.85,new postings,Data & Analytics
2020-08-11,DE,74.88,total postings,Data & Analytics
2020-08-12,DE,97.72,new postings,Data & Analytics
2020-08-12,DE,75.05,total postings,Data & Analytics
2020-08-13,DE,99.06,new postings,Data & Analytics
2020-08-13,DE,75.05,total postings,Data & Analytics
2020-08-14,DE,95.88,new postings,Data & Analytics
2020-08-14,DE,75.03,total postings,Data & Analytics
2020-08-15,DE,91.47,new postings,Data & Analytics
2020-08-15,DE,74.75,total postings,Data & Analytics
2020-08-16,DE,87.52,new postings,Data & Analytics
2020-08-16,DE,74.56,total postings,Data & Analytics
2020-08-17,DE,84.14,new postings,Data & Analytics
2020-08-17,DE,74.33,total postings,Data & Analytics
